0.000000 26230
0.001042 -3584
0.002083 0
0.003125 0
0.004167 0
0.005208 0
0.006250 0
0.007292 0
0.008333 0
0.009375 0
0.010417 0
0.011458 0
0.012500 0
0.013542 0
0.014583 0
0.015625 0
0.016667 0
0.017708 0
0.018750 0
0.019792 0
0.020833 0
0.021875 0
0.022917 0
0.023958 0
0.025000 0
0.026042 0
0.027083 0
0.028125 0
0.029167 0
0.030208 0
0.031250 0
0.032292 0
0.033333 0
0.034375 0
0.035417 0
0.036458 0
0.037500 0
0.038542 0
0.039583 0
0.040625 0
0.041667 0
0.042708 0
0.043750 0
0.044792 0
0.045833 0
0.046875 0
0.047917 0
0.048958 1
0.050000 0
0.051042 1
0.052083 2
0.053125 -2
0.054167 -12
0.055208 14
0.056250 61
0.057292 -65
0.058333 364
0.059375 -537
0.060417 535
0.061458 -504
0.062500 -1105
0.063542 1224
0.064583 -1517
0.065625 1422
0.066667 -2349
0.067708 2054
0.068750 -3064
0.069792 2747
0.070833 2153
0.071875 -2705
0.072917 -2491
0.073958 3375
0.075000 -3465
0.076042 2616
0.077083 3875
0.078125 -3677
0.079167 -3756
0.080208 3590
0.081250 3073
0.082292 -3429
0.083333 -2446
0.084375 3360
0.085417 -3048
0.086458 2909
0.087500 -2486
0.088542 1650
0.089583 5275
0.090625 -834
0.091667 968
0.092708 -5005
0.093750 -8792
0.094792 4110
0.095833 12374
0.096875 -3648
0.097917 8533
0.098958 -5959
0.100000 1811
0.101042 -9945
0.102083 -10212
0.103125 12071
0.104167 -6573
0.105208 11319
0.106250 -6464
0.107292 5783
0.108333 -9650
0.109375 12747
0.110417 -6969
0.111458 13977
0.112500 11574
0.113542 -6056
0.114583 4958
0.115625 -7587
0.116667 -12532
0.117708 14978
0.118750 16667
0.119792 -9684
0.120833 9825
0.121875 -7747
0.122917 -12803
0.123958 16834
0.125000 -13125
0.126042 17756
0.127083 15678
0.128125 -10052
0.129167 741
0.130208 -6803
0.131250 -11282
0.132292 17120
0.133333 -12664
0.134375 15376
0.135417 10399
0.136458 -8298
0.137500 2619
0.138542 -6880
0.139583 19883
0.140625 -13342
0.141667 -6998
0.142708 11534
0.143750 -4596
0.144792 6765
0.145833 -9024
0.146875 18787
0.147917 -11655
0.148958 11964
0.150000 -10205
0.151042 8991
0.152083 3897
0.153125 -4172
0.154167 -10920
0.155208 17433
0.156250 -9160
0.157292 11746
0.158333 8076
0.159375 -7170
0.160417 4680
0.161458 -4870
0.162500 -8575
0.163542 11068
0.164583 -4138
0.165625 8102
0.166667 2546
0.167708 -2681
0.168750 3391
0.169792 -2923
0.170833 -6202
0.171875 13987
0.172917 -6038
0.173958 9026
0.175000 4079
0.176042 -2444
0.177083 5220
0.178125 -4895
0.179167 -8160
0.180208 17490
0.181250 -6595
0.182292 9441
0.183333 4013
0.184375 -3391
0.185417 -3422
0.186458 4593
0.187500 -6712
0.188542 16311
0.189583 -7019
0.190625 10024
0.191667 5725
0.192708 -4081
0.193750 6752
0.194792 -3627
0.195833 -7183
0.196875 10973
0.197917 12914
0.198958 -5971
0.200000 5721
0.201042 -4194
0.202083 -3396
0.203125 4354
0.204167 -98
0.205208 -6191
0.206250 -6374
0.207292 15536
0.208333 7766
0.209375 -2822
0.210417 -2687
0.211458 3374
0.212500 2592
0.213542 -5021
0.214583 -7550
0.215625 13498
0.216667 -6085
0.217708 7022
0.218750 5115
0.219792 -5577
0.220833 -3314
0.221875 2666
0.222917 2369
0.223958 -4255
0.225000 -5585
0.226042 8478
0.227083 5522
0.228125 -3271
0.229167 -1655
0.230208 2529
0.231250 -2711
0.232292 998
0.233333 -58
0.234375 -3558
0.235417 -3491
0.236458 -39
0.237500 -188
0.238542 3732
0.239583 3337
0.240625 -1642
0.241667 -1959
0.242708 932
0.243750 1757
0.244792 -280
0.245833 -376
0.246875 -2145
0.247917 -1626
0.248958 57
0.250000 -13
0.251042 2883
0.252083 1180
0.253125 -1132
0.254167 653
0.255208 -559
0.256250 -791
0.257292 516
0.258333 59
0.259375 -1922
0.260417 -1570
0.261458 250
0.262500 -970
0.263542 3853
0.264583 3631
